id,area,area_sqft,lot_size_sqft,bedrooms,bathrooms,stories,parking_spaces,house_age_years,distance_to_city_km,school_quality_index,crime_index,price
15804,Clifton,1344,2271,3,3,2,0,2,0.98,5.75,,379267
15805,Clifton,1186,3487,2,2,2,1,9,1.63,5.67,6.26,398341
15806,NorthNazimabad,2410,7362,5,5,3,0,17,7.18,5.11,5.41,687099
15807,PECHS,1205,3752,3,2,2,0,15,1.85,,9.11,254600
15808,PECHS,1436,3841,2,2,3,1,21,1.13,7.87,,295742
15809,PECHS,2332,5385,4,4,1,0,39,4.09,7.02,6.95,469881
15810,NorthNazimabad,1821,4150,3,3,3,0,13,24.73,5.99,,474299
15811,NorthNazimabad,722,2397,2,1,3,2,58,44.69,,3.54,149819
15812,FB Area,2848,7814,4,4,2,2,25,4.87,7.15,4.49,492135
15813,PECHS,1482,3340,2,1,2,0,9,4.66,4.5,5.21,398775
15814,FB Area,1558,5428,3,3,2,1,0,,10.0,3.9,264250
15815,NorthNazimabad,1953,4682,4,3,3,1,9,4.63,5.6,6.26,578574
15816,FB Area,2175,6163,2,2,1,1,3,4.66,,5.81,340634
15817,NorthNazimabad,2977,3657,5,4,1,1,3,1.92,,3.47,843963
15818,PECHS,804,1133,1,1,2,0,9,14.68,8.19,6.45,156550
15819,NorthNazimabad,2296,3014,3,2,1,0,12,13.97,6.19,,491848
15820,NayaNazimabad,2246,4379,3,2,3,1,32,1.39,6.88,1.87,508100
15821,NorthNazimabad,1718,3766,3,3,3,1,28,6.51,,4.21,483583
15822,PECHS,2272,6710,3,2,1,2,13,11.76,5.15,1.02,552318
15823,NorthNazimabad,2361,4850,3,2,1,2,44,11.67,10.0,6.45,634144
15824,NayaNazimabad,971,2752,2,2,3,1,54,0.62,7.58,4.56,297362
15825,NayaNazimabad,2850,3979,4,3,2,1,20,2.92,,,535601
15826,NorthNazimabad,865,2572,1,1,1,0,21,,6.52,5.68,249089
15827,NorthNazimabad,1119,3401,2,1,2,1,24,8.21,9.86,1.0,326796
15828,NorthNazimabad,1643,4091,3,2,3,3,5,11.73,,3.6,502940
15829,FB Area,2955,7340,4,3,1,1,16,16.95,6.58,,557784
15830,NayaNazimabad,1615,2665,1,1,2,1,37,8.66,8.83,4.66,352077
15831,FB Area,1781,4491,2,1,2,2,32,7.78,,3.89,236469
15832,Clifton,2659,3705,3,2,1,1,16,0.84,,,626419
15833,NorthNazimabad,1620,5382,3,2,1,4,17,27.52,6.19,1.0,527050
15834,Clifton,1093,1714,2,1,2,1,24,5.66,,4.73,327845
15835,Clifton,1550,2941,2,1,3,0,1,2.44,4.92,1.62,380725
15836,FB Area,2622,8742,5,5,1,1,62,12.49,5.47,,394441
15837,NorthNazimabad,1843,3244,4,3,3,0,32,41.97,,,425308
15838,NorthNazimabad,2958,9398,5,5,3,1,5,9.54,4.26,3.54,699927
15839,PECHS,2243,5900,4,4,3,0,9,11.18,,5.18,457288
15840,FB Area,1413,3579,2,2,3,1,11,7.23,4.92,3.63,284885
15841,PECHS,1831,5581,3,2,3,1,15,4.11,7.1,,495725
15842,PECHS,1288,3383,2,2,3,3,47,3.32,5.71,4.69,309060
15843,Clifton,1399,4880,3,2,3,3,5,0.2,7.59,,410305
15844,NorthNazimabad,4487,8675,7,6,2,0,10,5.28,,7.86,1270796
15845,FB Area,2411,5704,3,3,2,1,14,9.46,,5.57,382652
15846,NayaNazimabad,2317,2799,4,4,2,2,13,7.81,9.09,5.38,491608
15847,PECHS,1426,1767,1,1,2,0,9,11.57,4.34,3.85,321701
15848,FB Area,2742,6051,5,4,1,1,12,6.1,8.92,5.16,455426
15849,PECHS,2460,6776,5,4,2,0,29,4.52,5.21,4.9,533888
15850,NayaNazimabad,2929,9922,7,6,2,1,20,5.98,4.6,4.48,780467
15851,PECHS,2900,8295,5,4,3,1,32,3.81,,3.74,757269
15852,NayaNazimabad,913,2466,2,2,1,1,0,4.03,10.0,3.64,327163
15853,NayaNazimabad,1134,3315,2,1,1,2,14,4.08,8.61,5.16,336950
15854,NorthNazimabad,1198,3130,3,2,1,1,1,23.99,7.03,,367117
15855,NorthNazimabad,1234,2546,2,1,2,2,14,9.6,8.27,5.48,427094
15856,PECHS,1994,3730,4,3,3,0,21,0.52,,4.98,444188
15857,NorthNazimabad,1460,5076,3,2,2,0,4,12.31,2.96,3.87,408869
15858,NorthNazimabad,3044,5766,5,5,3,1,23,5.94,10.0,4.78,694617
15859,FB Area,2943,5009,4,3,3,0,19,4.11,,1.0,550982
15860,Clifton,1796,4720,2,1,3,1,18,24.72,,6.03,376704
15861,Clifton,2973,8847,6,5,1,0,20,4.14,6.83,7.4,889268
15862,NorthNazimabad,2693,5104,5,4,3,2,8,2.37,,4.77,804872
15863,FB Area,1530,3926,3,2,3,0,17,5.02,6.71,,353316
15864,Clifton,594,1234,2,1,1,0,5,1.62,10.0,5.84,286431
15865,PECHS,1669,3770,3,3,2,1,36,2.68,10.0,4.89,313233
15866,PECHS,1413,2152,3,1,2,1,17,21.59,5.9,,291212
15867,PECHS,1924,3818,4,3,3,1,21,2.49,9.42,,470111
15868,PECHS,1854,4571,3,2,1,2,6,5.75,10.0,7.53,406896
15869,PECHS,1838,2600,3,3,1,1,1,6.68,9.0,5.82,460201
15870,Clifton,2114,4595,2,1,2,1,5,2.11,8.48,4.66,673585
15871,NorthNazimabad,1072,3161,2,1,3,1,7,17.42,7.89,4.41,278490
15872,FB Area,2047,2464,4,3,2,0,41,0.49,,5.58,375183
15873,Clifton,1536,3868,2,1,2,0,57,0.21,9.14,6.59,372235
15874,PECHS,1920,4326,3,2,3,2,6,12.22,4.7,6.66,485437
15875,PECHS,2374,4668,4,4,3,0,7,0.77,6.82,5.61,504455
15876,PECHS,1065,3131,1,1,2,1,25,1.21,6.02,2.54,271177
15877,FB Area,1631,3829,4,4,2,1,8,2.49,8.27,3.5,276584
15878,NayaNazimabad,1729,3848,3,2,3,2,4,5.61,6.49,3.06,449252
15879,NorthNazimabad,1491,2559,1,1,1,2,15,18.33,8.38,3.74,444012
15880,FB Area,2340,6453,4,4,2,0,11,1.49,7.34,6.23,425317
15881,FB Area,1368,2730,3,2,3,0,1,9.09,4.65,4.49,311924
15882,NorthNazimabad,1467,2649,2,1,2,1,16,33.44,6.47,8.29,352101
15883,Clifton,1374,2969,2,1,3,0,17,5.45,7.58,3.25,401540
15884,NorthNazimabad,2455,5839,4,3,1,1,6,1.97,10.0,8.65,657358
15885,NayaNazimabad,1505,3332,2,1,1,3,17,10.61,10.0,3.99,407659
15886,PECHS,2076,4229,3,2,3,1,5,1.07,6.69,6.08,441880
15887,FB Area,2985,9814,6,6,1,2,11,2.76,,2.93,649992
15888,PECHS,1755,5326,4,4,2,0,50,2.47,5.14,5.03,353961
15889,NorthNazimabad,2467,4608,5,4,3,0,1,14.34,,3.77,556418
15890,PECHS,2803,7509,4,2,3,1,80,6.88,,4.32,548430
15891,NorthNazimabad,2416,7721,4,3,1,1,4,9.78,6.29,4.59,643099
15892,PECHS,1790,2845,4,3,1,3,1,13.72,3.92,1.83,440393
15893,NayaNazimabad,2185,5081,3,3,2,0,22,2.03,8.44,6.73,479700
15894,PECHS,1028,1762,2,1,2,0,8,5.45,6.88,5.2,258122
15895,PECHS,1332,3595,1,1,2,3,36,8.59,6.05,6.42,271651
15896,FB Area,1437,4120,3,2,2,0,24,13.5,10.0,4.56,260624
15897,Clifton,3144,8349,5,5,2,0,4,3.65,,2.35,762163
15898,NorthNazimabad,1312,1759,2,1,2,1,18,15.48,6.86,8.23,335733
15899,FB Area,1304,1648,1,1,1,0,43,6.69,9.15,5.31,160790
15900,NorthNazimabad,1174,2542,3,2,2,0,4,0.26,,2.51,449394
15901,PECHS,2136,2732,4,3,3,1,4,4.37,8.34,,496907
15902,FB Area,1886,3246,4,3,2,0,23,20.47,8.2,,317705
15903,PECHS,2452,6950,4,3,2,0,57,20.57,4.92,,481853
15904,FB Area,2203,5652,3,2,1,1,52,8.79,8.72,5.55,323752
15905,NorthNazimabad,972,2097,1,1,1,2,1,7.58,8.11,3.55,345334
15906,NorthNazimabad,1316,3865,2,1,3,1,14,10.81,,3.68,406740
15907,PECHS,2619,5067,5,5,3,0,4,3.03,6.13,5.24,538997
15908,PECHS,1678,5451,1,1,1,0,18,1.24,6.97,7.02,267032
15909,PECHS,2513,7151,6,4,2,1,21,,6.17,5.39,598086
15910,PECHS,1710,4322,3,2,3,0,10,10.61,10.0,1.65,326546
15911,PECHS,1219,2130,2,1,1,1,1,4.98,8.55,6.56,313856
15912,PECHS,1618,3423,3,2,2,2,13,14.13,6.94,5.74,424894
15913,NorthNazimabad,1219,2650,3,1,3,0,11,13.28,8.69,6.37,366344
15914,PECHS,1461,3916,2,1,1,0,24,0.53,6.04,1.23,378358
15915,Clifton,1921,5763,4,4,3,1,14,,10.0,3.6,576288
15916,FB Area,2107,5029,4,3,2,0,18,0.82,8.79,6.66,397061
15917,PECHS,846,2607,3,2,1,1,13,6.84,,5.1,234729
15918,Clifton,1790,4461,3,1,2,0,6,19.69,,6.61,435181
15919,NorthNazimabad,1448,4226,2,2,2,1,11,1.4,7.68,7.01,414764
15920,PECHS,1411,4488,2,1,3,1,50,1.5,,5.62,361959
15921,PECHS,1880,5866,3,3,3,1,7,3.26,,2.68,477058
15922,NayaNazimabad,1470,4665,3,2,2,3,18,10.28,6.33,4.73,379409
15923,NorthNazimabad,2629,8035,4,3,2,0,1,,7.7,3.3,690548
15924,Clifton,2513,4885,3,2,3,1,6,9.73,6.87,7.5,676311
15925,NorthNazimabad,2509,5444,4,3,3,2,2,5.46,6.87,3.61,562034
15926,FB Area,1503,3682,2,2,2,2,17,12.41,5.64,1.0,307173
15927,Clifton,1223,3915,2,1,3,0,28,1.59,4.88,1.0,368954
15928,NayaNazimabad,1849,2815,4,4,3,0,10,12.37,7.31,1.99,496841
15929,Clifton,1710,3618,3,2,3,2,11,5.32,4.36,5.9,466433
15930,NayaNazimabad,1435,4546,2,1,2,0,21,11.53,6.82,3.63,336620
15931,FB Area,1095,3505,1,1,2,1,1,8.45,3.86,7.0,219232
15932,PECHS,1775,4976,3,2,3,1,24,17.23,,4.9,383963
15933,NayaNazimabad,1558,5447,3,3,2,1,4,33.85,6.65,8.14,394214
15934,NayaNazimabad,2213,4013,5,3,2,0,8,22.03,7.32,5.99,574495
15935,NorthNazimabad,2199,4885,4,3,2,2,21,4.9,6.78,5.65,496456
15936,PECHS,2460,7573,3,2,2,0,9,10.06,6.21,4.83,428954
15937,FB Area,1044,2332,2,1,3,2,37,5.34,5.34,5.15,207559
15938,FB Area,2041,4812,2,1,2,1,10,11.09,7.51,7.03,349273
15939,Clifton,1364,2582,3,2,1,1,34,3.84,5.97,7.06,345773
15940,FB Area,1068,1840,3,3,2,3,63,5.97,1.0,6.09,161022
15941,NayaNazimabad,1543,3456,4,3,2,1,20,,9.74,8.15,325435
15942,NayaNazimabad,2441,7553,4,3,2,2,11,0.2,6.65,2.98,570664
15943,PECHS,1577,4048,3,2,3,2,0,3.1,6.78,6.39,400547
15944,NorthNazimabad,2739,5527,5,4,3,3,43,11.74,6.78,4.7,661990
15945,PECHS,2129,3153,4,3,3,0,52,4.42,8.9,5.8,408880
15946,NorthNazimabad,1564,5250,1,1,2,1,9,3.54,8.76,2.83,399559
15947,NorthNazimabad,2496,8226,4,3,2,2,6,9.7,9.97,5.82,687709
15948,PECHS,2067,6126,4,2,1,3,30,3.21,8.91,2.23,405649
15949,Clifton,1240,2242,2,1,2,1,28,6.84,5.65,7.09,341516
15950,PECHS,2915,7753,4,3,3,0,6,6.22,7.9,5.54,612962
15951,Clifton,1956,5980,3,2,1,1,1,18.02,6.76,5.85,561852
15952,NorthNazimabad,1811,6287,4,3,3,1,9,2.89,5.97,4.22,516879
15953,PECHS,1287,1546,2,1,1,1,0,3.0,,4.12,358408
15954,NayaNazimabad,2508,4799,5,5,3,2,71,2.9,5.24,7.56,667069
15955,NayaNazimabad,2110,6301,3,2,3,0,8,1.98,,8.53,516937
15956,NorthNazimabad,2178,6449,4,4,2,2,3,5.7,7.89,1.0,639960
15957,FB Area,1495,1899,1,1,1,1,75,2.32,5.42,1.03,220017
15958,FB Area,2300,5395,4,3,3,1,28,24.37,7.77,3.38,377461
15959,FB Area,2347,5185,4,3,2,2,3,0.8,9.69,4.31,427830
15960,NorthNazimabad,1399,2436,2,1,2,1,4,3.47,6.42,5.29,330360
15961,NorthNazimabad,950,2439,1,1,2,3,65,20.37,,2.49,303168
15962,Clifton,2149,6140,4,3,2,0,17,14.68,4.49,2.59,626569
15963,Clifton,856,2521,3,2,2,0,56,0.28,7.54,7.22,297618
15964,NorthNazimabad,1891,4282,3,2,1,0,5,7.01,9.92,5.2,465368
15965,NorthNazimabad,1532,4452,3,2,3,2,8,4.37,5.3,5.4,436225
15966,FB Area,2531,4543,6,6,2,1,61,3.43,,6.24,414665
15967,NorthNazimabad,1564,5183,2,1,2,1,5,5.08,7.13,8.11,434131
15968,FB Area,2464,5040,4,3,3,0,10,4.18,5.76,1.39,451600
15969,PECHS,1491,3333,4,2,3,3,3,9.84,9.62,6.63,455881
15970,FB Area,2400,5877,4,3,3,3,23,0.97,7.66,3.5,419324
15971,Clifton,3036,8437,6,6,1,1,4,22.27,5.93,1.0,772744
15972,FB Area,1159,1994,2,1,1,1,17,2.42,7.69,3.91,200578
15973,FB Area,1975,6580,3,2,3,3,46,7.21,6.18,5.22,398198
15974,PECHS,3449,6096,6,5,1,0,1,4.3,7.06,5.14,750493
15975,NorthNazimabad,1840,5054,3,2,1,1,33,0.45,7.14,5.96,444341
15976,PECHS,1837,3704,3,2,1,0,4,6.52,10.0,,449166
15977,PECHS,2273,3752,3,2,1,1,8,9.51,4.78,,553320
15978,FB Area,1825,3122,3,1,2,1,45,3.89,6.44,6.03,293273
15979,NorthNazimabad,776,2122,1,1,2,2,8,6.95,,7.27,247366
15980,PECHS,2479,3300,5,4,1,0,22,3.12,,,520651
15981,FB Area,598,1254,1,1,2,1,56,,5.13,7.01,100241
15982,PECHS,1550,3468,2,1,1,0,13,,6.37,4.11,302617
15983,PECHS,2524,5019,4,4,2,0,5,13.98,7.89,10.0,568231
15984,Clifton,1586,4390,2,1,3,3,29,6.78,5.51,6.03,448388
15985,PECHS,1384,3171,2,1,1,1,16,6.07,6.0,5.96,326328
15986,NorthNazimabad,2328,3204,3,3,3,2,4,9.12,,3.91,663782
15987,FB Area,1289,4273,2,1,3,2,1,1.95,,3.76,283352
15988,NayaNazimabad,1067,1586,1,1,3,1,38,1.38,6.74,6.02,286548
15989,Clifton,1965,3291,4,3,3,1,79,6.33,,4.15,573119
15990,Clifton,1690,4402,4,3,1,1,13,23.15,,1.16,514773
15991,PECHS,1054,1397,2,1,3,1,50,9.24,6.58,3.37,194861
15992,PECHS,2182,7132,3,2,3,2,4,16.52,3.69,1.68,563565
15993,NorthNazimabad,2079,5721,2,1,3,0,6,20.32,6.73,3.84,464603
15994,FB Area,1584,4663,3,3,2,3,7,24.65,5.09,2.8,252177
15995,PECHS,1625,3783,4,4,3,2,18,3.61,10.0,5.83,447665
15996,NayaNazimabad,2082,5059,4,2,2,1,30,6.38,8.15,4.26,591690
15997,NorthNazimabad,2514,6706,3,2,3,1,2,31.85,7.0,2.03,634882
15998,FB Area,1630,4986,2,1,1,0,2,2.69,7.7,5.88,301189
15999,FB Area,2193,4463,4,3,3,0,5,15.67,9.15,7.29,322488
16000,FB Area,2139,4474,4,3,2,2,0,18.45,3.9,4.66,365840
16001,NorthNazimabad,2328,3704,3,2,3,1,30,13.72,,6.91,623988
16002,FB Area,1824,4882,5,4,1,0,80,2.92,6.55,7.21,330936
16003,Clifton,1253,3886,3,3,2,3,39,,8.5,5.54,389567
16004,PECHS,1523,4943,3,3,3,2,12,23.8,6.38,4.84,383461
16005,NorthNazimabad,2006,4551,3,3,3,0,7,4.86,7.53,4.76,455851
16006,NayaNazimabad,2891,5388,6,5,2,0,28,30.01,9.58,5.08,750903
16007,NorthNazimabad,1510,4373,3,3,2,3,14,15.14,6.63,7.99,376216
16008,Clifton,2283,3303,4,4,2,1,11,5.99,7.69,2.33,581822
16009,NorthNazimabad,1603,3653,3,2,2,2,14,0.49,10.0,2.46,458095
16010,PECHS,1866,4710,4,2,2,0,13,11.39,5.24,,405007
16011,NorthNazimabad,2709,5475,5,5,2,1,35,18.41,5.33,7.54,621017
16012,PECHS,2259,3358,3,1,2,1,36,0.22,,5.03,570195
16013,Clifton,1055,2418,1,1,1,0,31,11.9,,4.03,209010
16014,FB Area,1457,3696,1,1,1,1,11,5.58,7.16,5.51,159478
16015,FB Area,2554,8529,5,4,1,0,1,6.33,5.86,4.14,457171
16016,PECHS,1885,5430,2,2,3,1,7,2.65,6.82,5.04,398609
16017,FB Area,1111,2216,2,2,3,1,11,1.46,9.52,4.52,229562
16018,NayaNazimabad,1309,2256,1,1,1,0,29,16.5,7.45,,253032
16019,FB Area,2222,4801,5,4,3,1,9,1.45,,3.74,394753
16020,Clifton,2397,7338,3,1,1,0,35,0.37,7.63,2.22,586275
16021,PECHS,1811,5647,3,2,2,1,4,13.08,5.7,8.67,360955
16022,FB Area,3285,7741,4,3,2,1,0,2.39,,3.91,606989
16023,PECHS,2294,7127,4,3,2,1,42,22.79,9.92,2.77,490895
16024,NorthNazimabad,1654,4954,4,4,2,1,7,4.51,,4.14,605611
16025,Clifton,1311,1620,2,1,1,0,80,30.64,5.78,5.0,240064
16026,FB Area,1215,3869,2,1,1,0,8,6.0,5.95,4.1,197533
16027,Clifton,2001,2635,4,3,3,0,11,17.51,7.43,4.02,517994
16028,Clifton,1507,4072,2,2,3,4,26,10.43,8.98,4.62,399549
16029,PECHS,2804,7988,5,4,3,2,17,0.33,6.69,,673329
16030,NorthNazimabad,2680,8829,5,4,2,0,15,1.43,6.64,4.45,765367
16031,PECHS,2180,3821,3,2,1,2,35,7.83,9.26,3.66,545946
16032,NorthNazimabad,1093,2566,3,2,3,1,7,22.57,7.1,4.31,319099
16033,FB Area,1397,3586,2,1,2,1,10,9.74,,3.37,222296
16034,FB Area,2553,7190,4,4,3,0,2,3.39,3.52,8.73,485202
16035,NayaNazimabad,1462,2905,3,1,2,2,0,7.94,4.44,7.6,394108
16036,PECHS,2473,4830,4,4,1,1,65,1.71,5.87,5.92,532143
16037,NayaNazimabad,2085,5787,3,2,2,0,20,1.44,,5.61,413132
16038,PECHS,1831,4953,4,3,1,3,3,1.05,9.69,6.76,451351
16039,PECHS,1378,2657,3,2,2,2,55,8.85,10.0,1.3,286667
16040,FB Area,1743,5620,3,3,3,3,1,,8.55,4.65,285821
16041,NorthNazimabad,1914,6090,3,2,2,0,5,3.21,8.67,6.16,622776
16042,NorthNazimabad,2420,4080,3,3,3,2,35,5.78,,4.81,557044
16043,Clifton,1269,3341,2,2,1,0,1,5.79,,6.38,446621
16044,PECHS,1642,5248,3,2,2,1,20,33.02,,5.34,369613
16045,PECHS,1827,6123,3,2,2,2,5,8.81,2.71,,444069
16046,NayaNazimabad,2198,4619,4,2,3,1,1,1.65,,6.6,478743
16047,PECHS,1255,3617,2,1,1,0,49,16.5,4.87,8.27,189863
16048,NayaNazimabad,1010,3221,2,2,2,1,80,4.72,,3.89,319998
16049,NayaNazimabad,2204,2866,4,3,2,3,46,0.2,5.97,4.21,580851
16050,FB Area,889,1915,1,1,1,0,19,14.54,,5.23,172435
16051,NorthNazimabad,2571,3232,3,3,1,1,37,2.02,6.68,2.83,606489
16052,PECHS,1706,2401,4,3,3,1,18,10.19,7.5,4.03,354195
16053,NayaNazimabad,871,2061,2,1,1,2,53,6.48,6.96,2.48,241749
16054,Clifton,1512,5207,3,2,1,0,80,26.23,8.3,5.18,349394
16055,PECHS,2027,6565,3,2,3,0,10,3.21,7.35,6.85,497698
16056,NorthNazimabad,1480,3945,3,2,3,0,8,13.28,,6.19,376511
16057,PECHS,1812,2898,3,2,3,2,80,3.84,5.63,,366252
16058,FB Area,2244,3917,4,3,1,0,16,13.21,7.26,1.89,370504
16059,PECHS,1679,4138,3,2,3,1,48,6.29,7.12,2.66,387469
16060,Clifton,1238,2722,2,2,2,0,4,22.43,6.22,1.67,312179
16061,FB Area,1621,2453,3,3,1,1,50,7.91,,4.59,307412
16062,PECHS,2649,6848,5,4,1,1,41,14.51,5.72,3.96,525162
16063,FB Area,2811,4592,5,4,3,1,3,11.63,4.68,9.21,486085
16064,NayaNazimabad,588,2058,1,1,3,0,44,1.19,7.43,4.0,181311
16065,PECHS,2455,7702,4,3,3,2,14,34.14,7.24,4.13,575680
16066,NorthNazimabad,1950,4860,4,4,1,1,2,19.03,,5.45,506867
16067,Clifton,2354,4742,4,2,1,2,20,0.3,7.01,4.17,700455
16068,FB Area,1470,3343,2,1,3,0,11,1.18,5.67,4.91,202993
16069,PECHS,739,1737,2,2,2,1,2,5.71,4.33,4.91,248579
16070,NorthNazimabad,2151,5274,4,3,2,2,54,2.89,6.1,4.37,613417
16071,PECHS,1235,2866,2,1,1,1,11,18.52,10.0,4.93,311658
16072,PECHS,967,2703,2,1,3,2,12,11.08,4.91,1.93,254050
16073,PECHS,1009,2842,1,1,3,0,9,9.2,7.38,1.37,277535
16074,NorthNazimabad,2161,6233,4,4,3,2,80,1.05,6.87,9.88,490086
16075,NorthNazimabad,1884,2496,4,2,3,2,25,0.25,6.67,2.08,442470
16076,NorthNazimabad,2269,5246,4,3,1,2,18,11.25,,2.79,567700
16077,Clifton,2201,2968,3,3,3,1,19,8.26,9.21,2.66,543696
16078,PECHS,1547,2835,2,1,1,0,2,3.74,5.91,2.16,348827
16079,PECHS,1758,2695,2,1,2,1,18,8.75,7.09,7.55,430826
16080,Clifton,1493,4607,4,3,3,1,14,0.51,6.19,6.49,460548
16081,FB Area,1674,4220,2,1,3,0,80,31.04,,2.66,161138
16082,NorthNazimabad,1220,4102,1,1,1,1,1,0.96,3.56,4.07,391073
16083,NayaNazimabad,2034,5611,2,1,3,0,2,0.99,8.37,4.7,420665
16084,FB Area,2445,8097,4,3,1,4,50,23.57,6.63,1.0,393729
16085,NorthNazimabad,1310,3986,2,1,1,0,42,3.03,7.1,4.72,384662
16086,NorthNazimabad,2569,8790,4,4,3,2,12,4.22,7.49,5.41,602421
16087,FB Area,1868,4263,3,3,1,0,15,8.7,8.35,4.32,380732
16088,FB Area,1945,4976,3,2,3,0,32,8.66,,2.62,348296
16089,Clifton,780,2269,1,1,2,0,8,2.66,3.07,2.67,195739
16090,NorthNazimabad,716,1941,2,1,2,1,20,13.16,2.24,5.98,179847
16091,FB Area,1886,4414,3,3,1,0,2,5.67,6.87,2.95,383483
16092,FB Area,2274,6064,2,1,2,1,10,14.79,7.16,4.31,412737
16093,NorthNazimabad,1397,2907,1,1,2,1,26,2.96,,6.12,375923
16094,NorthNazimabad,2802,8609,3,1,1,2,6,3.1,7.47,5.11,662754
16095,FB Area,2241,5555,4,3,2,0,5,3.99,6.46,8.06,455620
16096,Clifton,1255,3646,2,1,2,1,18,,,,416149
16097,PECHS,1819,5212,3,2,3,0,31,7.34,,2.95,411942
16098,NorthNazimabad,3286,6407,5,5,2,0,12,1.83,5.31,5.56,990700
16099,PECHS,1054,2623,2,1,2,2,49,2.42,5.53,3.3,211522
16100,PECHS,2117,5031,4,3,1,1,63,3.48,6.64,,505781
16101,FB Area,1606,4003,2,1,3,0,4,11.03,7.75,5.91,272438
16102,FB Area,2224,4167,3,2,1,0,11,1.96,,5.25,390598
16103,FB Area,2560,5774,4,3,1,1,8,6.23,5.36,4.08,465073
16104,NorthNazimabad,1568,3786,2,1,1,0,18,1.09,5.7,,415872
16105,PECHS,2471,6388,4,4,2,0,5,2.99,4.76,,600620
16106,FB Area,3133,7002,6,6,1,2,80,12.56,4.99,5.77,508708
16107,NorthNazimabad,1840,2343,2,1,2,2,22,4.48,8.8,3.68,420997
16108,NorthNazimabad,2271,7032,3,2,2,0,31,7.86,7.63,6.04,573269
16109,PECHS,1446,3988,3,2,1,1,1,10.08,9.79,7.6,407387
16110,FB Area,1812,3771,4,3,2,0,14,2.03,5.44,4.14,372792
16111,PECHS,1694,3833,4,4,2,3,10,4.85,1.2,4.52,432661
16112,FB Area,2278,3174,4,3,2,0,52,11.05,8.62,,436544
16113,NorthNazimabad,2523,4114,4,4,3,1,1,9.39,,,694402
16114,FB Area,1734,5963,3,2,1,2,8,6.44,,8.62,339021
16115,FB Area,2720,3855,4,4,2,0,8,1.86,5.46,4.54,440115
16116,Clifton,2718,6442,4,3,3,0,19,3.02,,1.36,649630
16117,Clifton,2308,6270,4,3,1,2,45,7.25,8.55,3.44,668713
16118,Clifton,1490,5130,3,2,3,1,66,16.44,7.28,3.4,421744
16119,FB Area,1433,2422,3,2,3,1,22,9.83,,4.3,291913
16120,PECHS,1313,2551,2,1,3,2,2,0.2,,8.46,266098
16121,NayaNazimabad,2369,4842,3,2,3,1,0,7.23,5.2,,496400
16122,FB Area,1073,3357,1,1,1,1,17,13.15,4.3,4.25,166104
16123,FB Area,2206,5985,3,3,3,1,19,1.1,2.89,4.24,330038
16124,PECHS,1151,3023,1,1,1,2,48,9.18,7.56,9.11,286785
16125,NorthNazimabad,2294,6395,5,3,1,2,22,1.18,,8.81,509189
16126,PECHS,1810,2312,3,2,1,2,30,2.18,5.95,3.01,343394
16127,Clifton,2600,5181,4,2,2,0,22,2.03,7.37,,739662
16128,PECHS,2485,3691,5,4,3,3,4,1.65,7.8,2.84,612297
16129,NorthNazimabad,2661,6819,5,4,3,1,33,11.81,7.7,6.91,665277
16130,NorthNazimabad,2676,5333,4,4,1,0,3,10.66,10.0,9.09,751832
16131,FB Area,1886,3691,4,3,3,1,7,2.45,5.93,,333077
16132,NorthNazimabad,1105,2308,1,1,3,3,14,0.67,3.36,3.56,333560
16133,FB Area,1168,3354,2,2,2,1,9,0.2,4.02,3.63,168023
16134,NorthNazimabad,548,1534,1,1,2,0,10,13.06,4.33,5.35,154663
16135,PECHS,1150,2480,2,2,1,0,3,25.48,8.8,4.04,315110
16136,FB Area,1841,3561,4,4,2,0,30,0.52,,6.38,387585
16137,NorthNazimabad,1464,2893,3,3,3,0,4,8.38,5.91,5.02,442463
16138,NayaNazimabad,1692,3547,3,2,2,1,0,7.54,6.81,4.19,432698
16139,PECHS,2096,5060,6,6,1,0,80,16.6,8.81,4.17,496054
16140,PECHS,1618,4989,3,2,2,1,28,16.11,7.13,,314396
16141,NorthNazimabad,1127,2010,1,1,1,1,26,3.23,7.23,4.39,355889
16142,FB Area,1768,4803,3,3,2,2,16,16.4,,7.75,270339
16143,PECHS,1261,2111,1,1,3,0,2,3.92,8.82,3.84,336848
16144,FB Area,1638,4276,2,1,2,0,0,5.49,9.04,1.57,359392
16145,PECHS,2606,5540,4,2,1,0,1,8.41,6.12,6.19,608770
16146,FB Area,1638,2685,4,3,2,1,26,4.84,8.68,4.98,298681
16147,PECHS,2863,8324,5,4,2,1,2,8.48,7.3,2.99,648902
16148,PECHS,2659,4234,5,4,3,2,7,5.41,5.02,4.61,673703
16149,FB Area,1452,5068,1,1,2,1,28,4.76,7.04,3.69,258341
16150,FB Area,1133,1747,1,1,3,0,23,2.66,7.31,4.54,156726
16151,PECHS,1768,3475,4,3,2,2,3,3.47,10.0,,441681
16152,FB Area,2492,7861,4,3,2,4,14,3.67,6.73,6.13,513706
16153,PECHS,1506,2120,4,3,1,0,8,0.38,7.45,3.64,360289
16154,FB Area,2345,7331,4,4,2,1,8,6.43,6.82,5.36,369074
16155,NorthNazimabad,2525,8464,4,4,3,1,1,13.63,9.27,5.24,628983
16156,NorthNazimabad,1336,4601,2,1,1,1,28,3.81,6.82,5.93,378989
16157,PECHS,1394,4224,2,1,2,2,11,16.43,6.85,4.85,281647
